N;Tiempo
100;0.00098
200;0.00000
300;0.00102
400;0.00098
500;0.00100
600;0.00100
700;0.00100
800;0.00100
900;0.00100
1000;0.00100
1100;0.00200
1200;0.00300
1300;0.00302
1400;0.00300
1500;0.00200
1600;0.00300
1700;0.00398
1800;0.00400
1900;0.00300
2000;0.00400
2100;0.00501
2200;0.00400
2300;0.00500
2400;0.00400
2500;0.00600
2600;0.00502
2700;0.00500
2800;0.00600
2900;0.00699
3000;0.00700
3100;0.00700
3200;0.00698
3300;0.00700
3400;0.00801
3500;0.00800
3600;0.00899
3700;0.00899
3800;0.00800
3900;0.00900
4000;0.00999
4100;0.00900
4200;0.00899
4300;0.01000
4400;0.01000
4500;0.00999
4600;0.01199
4700;0.01100
4800;0.01099
4900;0.01098
5000;0.01099
5100;0.01099
5200;0.01199
5300;0.01199
5400;0.01199
5500;0.01299
5600;0.01301
5700;0.01399
5800;0.01399
5900;0.01399
6000;0.01499
6100;0.01599
6200;0.01399
6300;0.01499
6400;0.01599
6500;0.01599
6600;0.01599
6700;0.01599
6800;0.01697
6900;0.01701
7000;0.01697
7100;0.01701
7200;0.01799
7300;0.01699
7400;0.01799
7500;0.01899
7600;0.01999
7700;0.01901
7800;0.01897
7900;0.02001
8000;0.01999
8100;0.02099
8200;0.02101
8300;0.02099
8400;0.02099
8500;0.02099
8600;0.02199
8700;0.02199
8800;0.02297
8900;0.02301
9000;0.02297
9100;0.02299
9200;0.02399
9300;0.02499
9400;0.02399
9500;0.02499
9600;0.02597
9700;0.02500
9800;0.02500
9900;0.02598
10000;0.02697
10100;0.02700
10200;0.02597
10300;0.02698
10400;0.02800
10500;0.02698
10600;0.02798
10700;0.02896
10800;0.02800
10900;0.02799
11000;0.02797
11100;0.02998
11200;0.03096
11300;0.03000
11400;0.02999
11500;0.03098
11600;0.03098
11700;0.02996
11800;0.03198
11900;0.03297
12000;0.03300
12100;0.03199
12200;0.03196
12300;0.03298
12400;0.03400
12500;0.03396
12600;0.03400
12700;0.03396
12800;0.03498
12900;0.03598
13000;0.03498
13100;0.03598
13200;0.03600
13300;0.03698
13400;0.03796
13500;0.03698
13600;0.03598
13700;0.03797
13800;0.03898
13900;0.03898
14000;0.03998
14100;0.03996
14200;0.04499
14300;0.04296
14400;0.04499
14500;0.04496
14600;0.04796
14700;0.04497
14800;0.04699
14900;0.04898
15000;0.04997
