N;Tiempo
100;0.00000
200;0.00000
300;0.00100
400;0.00099
500;0.00101
600;0.00200
700;0.00100
800;0.00200
900;0.00200
1000;0.00200
1100;0.00201
1200;0.00200
1300;0.00300
1400;0.00299
1500;0.00400
1600;0.00300
1700;0.00400
1800;0.00398
1900;0.00400
2000;0.00500
2100;0.00498
2200;0.00601
2300;0.00600
2400;0.00700
2500;0.00600
2600;0.00700
2700;0.00600
2800;0.00800
2900;0.00699
3000;0.00800
3100;0.00800
3200;0.00799
3300;0.00899
3400;0.00899
3500;0.00999
3600;0.00899
3700;0.01098
3800;0.01001
3900;0.01099
4000;0.01100
4100;0.01098
4200;0.01201
4300;0.01301
4400;0.01400
4500;0.01399
4600;0.01302
4700;0.01299
4800;0.01399
4900;0.01499
5000;0.01599
5100;0.01599
5200;0.01599
5300;0.01599
5400;0.01699
5500;0.01700
5600;0.01799
5700;0.01799
5800;0.01898
5900;0.01799
6000;0.01900
6100;0.02001
6200;0.01899
6300;0.02197
6400;0.02001
6500;0.02197
6600;0.02200
6700;0.02099
6800;0.02299
6900;0.02200
7000;0.02199
7100;0.02399
7200;0.02398
7300;0.02397
7400;0.02400
7500;0.02399
7600;0.02698
7700;0.02498
7800;0.02598
7900;0.02598
8000;0.02699
8100;0.02698
8200;0.02799
8300;0.02800
8400;0.03098
8500;0.02998
8600;0.02997
8700;0.03100
8800;0.03197
8900;0.03200
9000;0.03198
9100;0.03198
9200;0.03498
9300;0.03298
9400;0.03298
9500;0.03399
9600;0.03600
9700;0.03698
9800;0.03696
9900;0.03999
10000;0.04096
10100;0.04199
10200;0.03996
10300;0.04297
10400;0.04299
10500;0.04397
10600;0.04299
10700;0.04396
10800;0.04299
10900;0.04597
11000;0.04599
11100;0.04597
11200;0.04797
11300;0.04899
11400;0.04897
11500;0.05097
11600;0.05098
11700;0.04997
11800;0.05097
11900;0.04795
12000;0.04899
12100;0.04997
12200;0.04997
12300;0.05695
12400;0.05899
12500;0.05595
12600;0.05497
12700;0.05798
12800;0.06096
12900;0.05997
13000;0.05699
13100;0.05895
13200;0.06097
13300;0.05998
13400;0.05797
13500;0.05897
13600;0.06298
13700;0.06097
13800;0.06294
13900;0.06595
14000;0.06396
14100;0.06698
14200;0.07295
14300;0.07598
14400;0.07194
14500;0.07196
14600;0.06796
14700;0.07295
14800;0.07494
14900;0.07696
15000;0.07396
